{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6069  0.3509  0.5000
  -4.583 -4.013  5  10  245    0.7033  0.3124  0.5000
  -4.013 -3.839  5  10  292    0.7498  0.2202  0.4323
  -3.839 -3.489  5  10  414    0.8521  0.1220  0.1852
  -3.489 -3.314  5  10  493    0.9244  0.0398  0.0707
  -3.314 -3.139  5  10  588    0.9333  0.0330  0.0142
  -3.139 -2.964  5  10  700    0.8840  0.0902  0.4672
  -2.964 -2.853  5  10  781    0.8629  0.0845  0.2434
  -2.853 -2.650  5  10  956    0.8481  0.1071  0.3568
  -2.650 -2.500  5  10 1108    0.8848  0.0605 -0.0153
  -2.500 -2.322  5  10 1321    0.9203  0.0411 -0.0488
  -2.322 -2.172  5  10 1529    0.9468  0.0015 -0.1117
  -2.172 -1.930  5  10 1933    0.9586  0.0040 -0.1271
  -1.930 -1.653  5  10 2511    0.9597  0.0074 -0.1178
  -1.653 -1.479  5  10 2946    0.9581 -0.0030 -0.0988
  -1.479 -1.305  5  10 3435    0.9938  0.0026 -0.0550
  -1.305 -1.044  5  10 4259    1.0088 -0.0097 -0.0590
  -1.044 -0.783  5  10 5141    0.9964 -0.0010  0.0037
  -0.783 -0.522  5  10 5968    0.9976 -0.0004  0.0158
  -0.522 -0.261  5  10 6574    0.9999  0.0009 -0.0024
  -0.261 -0.000  5  10 6800    0.9997  0.0052  0.0228
  +0.000 +0.261  5  10 6800    0.9997  0.0052  0.0228
  +0.261 +0.522  5  10 6574    0.9999  0.0009 -0.0024
  +0.522 +0.783  5  10 5968    0.9976 -0.0004  0.0158
  +0.783 +1.044  5  10 5141    0.9964 -0.0010  0.0037
  +1.044 +1.305  5  10 4259    1.0088 -0.0097 -0.0590
  +1.305 +1.479  5  10 3435    0.9938  0.0026 -0.0550
  +1.479 +1.653  5  10 2946    0.9581 -0.0030 -0.0988
  +1.653 +1.930  5  10 2511    0.9597  0.0074 -0.1178
  +1.930 +2.172  5  10 1933    0.9586  0.0040 -0.1271
  +2.172 +2.322  5  10 1529    0.9468  0.0015 -0.1117
  +2.322 +2.500  5  10 1321    0.9203  0.0411 -0.0488
  +2.500 +2.650  5  10 1108    0.8848  0.0605 -0.0153
  +2.650 +2.853  5  10  956    0.8481  0.1071  0.3568
  +2.853 +2.964  5  10  781    0.8629  0.0845  0.2434
  +2.964 +3.139  5  10  700    0.8840  0.0902  0.4672
  +3.139 +3.314  5  10  588    0.9333  0.0330  0.0142
  +3.314 +3.489  5  10  493    0.9244  0.0398  0.0707
  +3.489 +3.839  5  10  414    0.8521  0.1220  0.1852
  +3.839 +4.013  5  10  292    0.7498  0.2202  0.4323
  +4.013 +4.583  5  10  245    0.7033  0.3124  0.5000
  +4.583 +5.191  5  10  139    0.6069  0.3509  0.5000
